#KOI	KIC	Kp	CDPP	RA	DEC	Teff	log(g)	R	M	Teff	 
# [mag]	[ppm]	[Hr]	[Deg]	[K]	[cgs]	[Rsun]	[Msun]	 
589	9763754	14.547	85.6	19.24331	46.5978	5880	4.64	0.81	1.05	 
590	9782691	14.615	134	19.76657	46.5772	6106	4.55	0.92	1.09	 
592	9957627	14.292	93.6	19.63084	46.8215	5810	4.41	1.08	1.08	 
593	9958962	14.957	214	19.66594	46.8383	5737	4.62	0.83	1.04	 
596	10388286	14.818	147	18.91605	47.5163	3740	4.55	0.60	0.47	 
597	10600261	14.915	142	19.46476	47.8642	5833	4.42	1.07	1.09	 
598	10656823	14.813	207	19.20806	47.9667	5171	4.81	0.61	0.89	 
599	10676824	14.854	131	19.74138	47.9215	5820	4.54	0.92	1.06	 
600	10718726	14.827	119	19.08332	48.0609	5869	4.45	1.03	1.08	 
601	10973664	14.697	144	19.38994	48.4160	5862	4.58	0.88	1.06	 
602	12459913	14.647	113	19.41063	51.3349	6007	4.41	1.09	1.10	 
605	4832837	14.915	161	19.39515	39.9142	4270	4.76	0.53	0.60	 
607	5441980	14.377	0	19.32061	40.6158	5497	4.61	0.83	1.01	 
609	5608566	14.491	179	19.21071	40.8789	5696	4.30	1.23	1.09	 
610	5686174	14.672	150	18.96523	40.9331	4072	4.53	0.69	0.58	 
611	6309763	14.022	106	19.88627	41.6838	6122	4.55	0.92	1.09	 
612	6587002	14.157	78.5	18.99790	42.0792	5105	4.22	1.32	1.04	 
614	7368664	14.517	89.3	19.57242	42.9289	5675	4.89	0.59	0.98	 
617	9846086	14.608	76.5	19.82791	46.6443	5594	4.53	0.92	1.04	 
618	10353968	14.959	227	19.79911	47.4774	5471	4.52	0.92	1.02	 
620	11773022	14.669	385	19.76532	49.9377	5803	4.54	0.91	1.06	 
622	12417486	14.932	153	19.72535	51.2638	5171	4.31	1.17	1.01	 
623	12068975	11.811	33.3	19.68176	50.5590	6191	4.07	1.67	1.21	 
624	3541946	13.597	141	19.37821	38.6910	5537	4.73	0.71	0.99	 
625	4449034	13.592	104	19.10425	39.5345	6199	3.86	2.21	1.29	 
626	4478168	13.490	62.2	19.67956	39.5397	6134	4.40	1.10	1.12	 
627	4563268	13.307	86	19.47670	39.6376	5851	4.22	1.36	1.13	 
628	4644604	13.946	82.7	19.24658	39.7083	5668	4.25	1.31	1.10	 
629	4656049	13.949	122	19.47362	39.7679	6203	4.18	1.46	1.17	 
632	4827723	13.359	65.5	19.29452	39.9450	5273	4.64	0.77	0.95	 
633	4841374	13.871	63.5	19.56180	39.9424	5759	4.03	1.74	1.18	 
635	5020319	13.034	170	19.62490	40.1946	6065	4.42	1.07	1.11	 
638	5113822	13.595	121	19.70396	40.2363	5722	4.31	1.21	1.09	 
639	5120087	13.500	87.7	19.79238	40.2282	6166	4.44	1.05	1.11	 
640	5121511	13.332	69.3	19.81684	40.2886	5131	4.37	1.07	0.99	 
641	5131180	13.583	146	19.95330	40.2351	4054	4.34	0.93	0.68	 
644	5356593	13.725	69.9	19.33112	40.5327	5395	3.80	2.33	1.25	 
645	5374854	13.716	60.6	19.68116	40.5923	5890	4.09	1.61	1.17	 
647	5531694	13.550	48.1	19.41300	40.7027	6154	4.38	1.13	1.12	 
649	5613330	13.310	57.8	19.31822	40.8007	6000	4.29	1.26	1.12	 
650	5786676	13.594	83.8	19.35975	41.0401	4928	4.32	1.13	0.97	 
652	5796675	13.653	166	19.57279	41.0952	4628	4.79	0.57	0.72	 
654	5941160	13.984	101	18.96066	41.2375	5799	4.24	1.33	1.12	 
655	5966154	13.004	48.3	19.57507	41.2728	6249	4.44	1.06	1.12	 
657	6020753	13.872	109	18.86489	41.3220	4632	4.63	0.70	0.76	 
658	6062088	13.989	119	19.80600	41.3880	5676	4.53	0.93	1.05	 
659	6125481	13.413	55.3	19.49448	41.4169	6463	4.23	1.38	1.18	 
660	6267535	13.532	59.9	18.99463	41.6172	5250	4.15	1.45	1.09	 
661	6347299	13.909	75.4	19.02315	41.7619	5825	4.40	1.09	1.09	 
662	6365156	13.336	57.3	19.47913	41.7271	5889	4.41	1.08	1.09	 
663	6425957	13.506	74.8	19.01914	41.8612	4156	4.53	0.70	0.61	 
664	6442340	13.484	55.3	19.44231	41.8339	5725	4.24	1.32	1.11	 
665	6685609	13.182	103	19.33537	42.1661	5864	4.38	1.12	1.09	 
666	6707835	13.721	65.9	19.73548	42.1317	5553	4.59	0.85	1.02	 
667	6752502	13.826	847	18.81033	42.2346	4135	4.57	0.67	0.60	1	 
670	7033671	13.774	66.9	19.45490	42.5162	5608	4.35	1.15	1.07	 
671	7040629	13.749	49.5	19.59268	42.5280	5845	4.45	0.97	0.96	1	 
672	7115785	13.998	110	19.41130	42.6408	5565	4.16	1.45	1.12	 
673	7124613	13.343	95.7	19.58897	42.6250	6338	4.34	1.19	1.15	 
674	7277317	13.781	0	19.35515	42.8983	4864	3.67	2.74	1.29	 
676	7447200	13.822	249	19.50023	43.0832	4218	4.55	0.69	0.63	 
678	7509886	13.283	102	19.02928	43.1685	5073	4.17	1.39	1.06	 
679	7515212	13.178	51.1	19.17472	43.1417	5929	4.41	1.03	1.01	1	 
680	7529266	13.643	62.5	19.48582	43.1973	6060	4.35	1.16	1.12	 
682	7619236	13.916	69.7	19.67987	43.2695	5504	4.50	0.95	1.03	 
683	7630229	13.714	78.1	19.85495	43.2584	5624	4.67	0.78	1.02	 
684	7730747	13.831	66.3	18.75269	43.4133	5331	3.96	1.88	1.18	 
685	7764367	13.949	76.4	19.69838	43.4931	6187	4.16	1.49	1.18	 
686	7906882	13.579	46.1	19.78938	43.6471	5360	4.47	0.96	1.01	 
687	7976520	13.813	134	19.80781	43.7114	5606	4.50	0.96	1.05	 
688	8161561	13.992	79.4	19.35485	44.0358	6157	4.26	1.31	1.15	 
689	8361905	13.766	0	19.36476	44.3871	5438	4.60	0.83	1.00	 
691	8480285	13.965	64.9	18.98589	44.5917	6037	4.35	1.17	1.12	 
692	8557374	13.648	50.4	19.38828	44.6472	5608	4.90	0.58	0.96	 
693	8738735	13.949	76.7	18.98366	44.9560	6121	4.50	0.97	1.10	 
694	8802165	13.939	91.9	18.92664	45.0169	5596	4.87	0.60	0.97	 
695	8805348	13.437	49.1	19.04373	45.0796	5980	4.36	1.16	1.11	 
697	8878187	13.684	0	19.26673	45.1543	5779	4.05	1.70	1.18	 
698	8891278	13.816	91.2	19.59424	45.1898	5705	4.47	0.91	0.90	1	 
700	8962094	13.580	54.7	19.66490	45.2137	5601	4.37	1.12	1.07	 
701	9002278	13.725	83.4	18.88085	45.3499	4869	4.70	0.68	0.83	 
703	9162741	13.361	60.2	19.66080	45.5667	6178	4.36	1.17	1.14	1	 
704	9266431	13.704	75.7	18.95908	45.7197	5276	4.47	0.96	0.99	 
707	9458613	13.988	103	19.27184	46.0052	5933	4.27	1.29	1.12	 
708	9530945	13.998	95	19.58187	46.1292	6036	4.53	0.94	1.09	 
709	9578686	13.940	75	19.15552	46.2035	5468	4.53	0.90	1.02	 
710	9590976	13.294	48.2	19.53585	46.2775	6653	4.31	1.36	1.38	1	 
711	9597345	13.967	63	19.69419	46.2665	5488	4.45	1.00	1.04	 
712	9640976	13.720	61.1	19.19942	46.3569	5500	4.76	0.68	0.97	 
714	9702072	13.393	93.4	19.20054	46.4736	5444	4.66	0.76	0.98	 
716	9846348	13.754	53.3	19.83281	46.6945	5845	4.50	0.96	1.07	 
717	9873254	13.387	51.6	18.81420	46.7178	5412	4.96	0.52	0.90	 
718	9884104	13.764	93.4	19.24927	46.7626	5801	4.67	0.78	1.04	 
719	9950612	13.177	55.6	19.43374	46.8957	4405	4.55	0.73	0.68	1	 
720	9963524	13.749	150	19.77698	46.8353	5123	4.54	0.86	0.95	 
721	9964801	13.645	57.1	19.80456	46.8343	5812	4.10	1.59	1.17	 
722	9965439	13.489	54.9	19.81727	46.8432	6133	4.63	0.83	1.08	 
723	10002866	15.063	218	19.19374	46.9378	5244	4.66	0.76	0.94	 
725	10068383	15.765	707	19.26705	47.0404	5046	4.65	0.74	0.90	 
728	10221013	15.356	356	19.77615	47.2303	5976	4.54	0.92	1.08	 
730	10227020	15.344	213	19.88789	47.2795	5599	4.39	1.10	1.07	 
732	10265898	15.342	240	19.22186	47.3816	5360	4.59	0.83	0.98	 
733	10271806	15.644	375	19.39562	47.3576	5038	4.85	0.58	0.85	 
734	10272442	15.344	214	19.41315	47.3078	5719	4.70	0.75	1.02	 
735	10287242	15.637	375	19.77956	47.3922	5080	4.47	0.94	0.96	 
736	10340423	15.962	310	19.47960	47.4571	4157	4.55	0.68	0.60	 
737	10345478	15.684	163	19.60807	47.4088	5117	4.60	0.80	0.93	 
738	10358759	15.282	176	19.88989	47.4912	5711	4.54	0.91	1.05	 
739	10386984	15.488	204	18.86559	47.5786	4050	4.54	0.67	0.57	 
740	10395381	15.556	228	19.17388	47.5097	4711	4.64	0.70	0.79	 
741	10418797	15.278	138	19.79715	47.5538	5556	4.73	0.71	0.99	 
743	10464078	15.487	204	19.28388	47.6353	4877	4.30	1.14	0.96	 
745	10485250	15.788	374	19.81030	47.6687	4957	4.43	0.97	0.94	 
746	10526549	15.302	165	19.20922	47.7245	4681	4.55	0.79	0.81	 
747	10583066	15.784	251	18.91406	47.8633	4357	4.68	0.61	0.65	 
749	10601284	15.416	201	19.49174	47.8810	5374	4.78	0.65	0.94	 
750	10662202	15.377	177	19.36434	47.9292	4619	4.62	0.70	0.76	 
751	10682541	15.861	486	19.85388	47.9467	5174	4.55	0.86	0.96	 
752	10797460	15.347	211	19.46228	48.1417	5584	4.41	1.07	1.06	 
753	10811496	15.436	263	19.80032	48.1341	5648	4.84	0.62	0.98	 
755	10854555	15.509	291	19.25033	48.2262	5781	4.44	1.04	1.08	 
756	10872983	15.714	249	19.75241	48.2247	5787	4.51	0.95	1.07	 
757	10910878	15.841	321	19.13330	48.3758	4956	4.69	0.70	0.87	 
758	10987985	15.390	270	19.80171	48.4786	4869	4.28	1.17	0.96	 
759	11018648	15.082	149	19.04790	48.5059	5401	4.56	0.86	1.00	 
760	11138155	15.263	118	19.47780	48.7276	5887	4.62	0.83	1.05	 
762	11153539	15.395	201	19.89712	48.7916	5779	4.60	0.85	1.05	 
763	11242721	15.536	142	19.40626	48.9338	5788	4.39	1.10	1.09	 
764	11304958	15.400	188	19.70367	49.0173	5263	4.37	1.09	1.02	 
765	11391957	15.317	287	19.03328	49.2774	5345	4.70	0.72	0.95	 
766	11403044	15.506	158	19.46241	49.2540	5913	4.47	1.00	1.09	 
767	11414511	15.052	301	19.80103	49.2253	5431	4.44	1.01	1.03	 
769	11460018	15.356	140	19.61772	49.3141	5461	4.64	0.79	0.99	 
771	11465813	15.207	126	19.77991	49.3165	5574	4.38	1.10	1.06	 
772	11493732	15.250	179	18.91506	49.4795	5885	4.41	1.08	1.09	 
773	11507101	15.172	109	19.44813	49.4809	5667	4.62	0.82	1.03	 
774	11656840	15.270	746	19.26579	49.7337	5873	4.46	1.01	1.08	 
775	11754553	15.095	239	19.11587	49.9758	4075	4.54	0.68	0.58	 
776	11812062	15.523	178	19.38572	50.0541	5309	4.83	0.61	0.91	 
777	11818800	15.487	547	19.62112	50.0802	5256	4.48	0.95	0.99	 
778	11853255	15.135	262	19.01175	50.1498	4082	4.61	0.61	0.55	 
779	11909839	15.562	177	19.28237	50.2410	5527	4.40	1.08	1.05	 
780	11918099	15.334	245	19.58889	50.2304	4833	4.67	0.70	0.82	 
781	11923270	15.937	405	19.74813	50.2872	3833	4.40	0.79	0.57	 
782	11960862	15.312	247	19.33987	50.3216	5733	4.41	1.07	1.08	 
783	12020329	15.080	328	19.69702	50.4946	5284	4.76	0.66	0.93	 
784	12066335	15.385	254	19.59822	50.5319	4112	4.57	0.65	0.58	 
785	12070811	15.505	214	19.73476	50.5678	5380	4.73	0.70	0.96	 
786	12110942	15.242	147	19.44149	50.6182	5638	4.72	0.73	1.01	 
787	12366084	15.367	300	19.72108	51.1217	5615	4.53	0.92	1.05	 
788	12404086	15.234	177	19.29331	51.2503	4950	4.63	0.75	0.88	 
790	12470844	15.339	312	19.75777	51.3195	5176	5.06	0.44	0.82	 
791	12644822	15.140	463	19.27415	51.7374	5564	4.53	0.92	1.03	 
794	2713049	15.026	203	19.42933	37.9057	5744	4.49	0.97	1.07	 
795	3114167	15.591	258	19.39137	38.2736	5455	4.80	0.64	0.95	 
797	3115833	15.657	477	19.41880	38.2417	5725	4.53	0.92	1.05	 
799	3246984	15.279	257	19.62455	38.3103	5491	4.41	1.05	1.04	 
800	3342970	15.541	353	19.44357	38.4947	5938	4.61	0.85	1.07	 
801	3351888	15.001	166	19.59146	38.4229	5472	4.39	1.08	1.04	 
802	3453214	15.562	391	19.58775	38.5636	5556	5.01	0.50	0.92	 
804	3641726	15.387	239	19.35558	38.7282	5136	4.53	0.87	0.95	 
805	3734868	15.646	462	19.17978	38.8865	5415	4.37	1.11	1.04	 
806	3832474	15.403	652	19.01891	38.9473	5206	4.53	0.88	0.97	 
809	3935914	15.530	279	19.01425	39.0275	5690	4.48	0.98	1.06	 
810	3940418	15.119	224	19.13960	39.0607	4997	4.57	0.82	0.91	 
811	4049131	15.398	322	19.28770	39.1533	4764	4.43	0.94	0.88	 
812	4139816	15.954	341	19.07194	39.2783	4097	4.66	0.57	0.55	 
813	4275191	15.725	239	19.64368	39.3084	5357	4.73	0.70	0.95	 
814	4476123	15.583	251	19.64737	39.5217	5236	4.86	0.58	0.89	 
815	4544670	15.684	255	19.06133	39.6248	5344	4.49	0.95	1.00	 
816	4664847	15.670	261	19.63266	39.7714	5699	4.50	0.96	1.06	 
817	4725681	15.414	253	18.92443	39.8981	3905	4.59	0.59	0.50	 
818	4913852	15.877	315	19.25413	40.0334	3785	4.36	0.83	0.58	 
821	5021899	15.540	263	19.65179	40.1537	5408	4.41	1.05	1.03	 
822	5077629	15.805	475	18.90256	40.2180	5458	4.61	0.82	1.00	 
823	5115978	15.202	249	19.73380	40.2954	5976	4.43	1.06	1.10	 
824	5164255	16.422	0	18.88357	40.3582	4829	4.44	0.94	0.90	 
825	5252423	15.289	203	18.88143	40.4218	4735	4.58	0.76	0.81	 
826	5272878	15.090	137	19.40997	40.4205	5557	4.84	0.62	0.97	 
827	5283542	15.546	197	19.61493	40.4179	5837	4.54	0.92	1.06	 
829	5358241	15.386	137	19.36412	40.5625	5858	4.57	0.89	1.06	 
830	5358624	15.224	111	19.37212	40.5774	4915	4.90	0.53	0.80	 
833	5376067	15.446	193	19.70029	40.5055	5781	4.66	0.79	1.04	 
834	5436502	15.084	123	19.19314	40.6378	5614	4.60	0.85	1.03	 
835	5456651	15.208	181	19.61348	40.6634	4817	4.95	0.48	0.75	 
837	5531576	15.660	237	19.41058	40.7503	4817	4.75	0.62	0.80	 
838	5534814	15.311	339	19.48096	40.7598	5794	4.48	0.99	1.07	 
840	5651104	15.028	194	19.95441	40.8224	4916	4.39	1.03	0.94	 
841	5792202	15.855	467	19.48245	41.0859	5226	4.66	0.76	0.94	 
842	5794379	15.389	254	19.52754	41.0609	4497	4.52	0.79	0.76	 
843	5881688	15.270	250	19.56644	41.1376	5784	4.40	1.09	1.08	 
844	6022556	15.581	304	18.92429	41.3465	5381	4.81	0.63	0.94	 
845	6032497	15.447	198	19.23400	41.3018	5646	4.44	1.02	1.06	 
846	6061119	15.482	175	19.79255	41.3961	5612	4.60	0.85	1.03	 
847	6191521	15.201	105	19.14362	41.5658	5469	4.56	0.88	1.01	 
849	6276477	15.018	199	19.26628	41.6333	5303	4.48	0.96	1.00	 
850	6291653	15.305	130	19.59187	41.6618	5236	4.55	0.87	0.97	 
851	6392727	15.287	486	19.94579	41.7427	5570	4.55	0.89	1.03	 
852	6422070	15.257	170	18.88776	41.8371	5448	4.47	0.98	1.03	 
853	6428700	15.376	246	19.10438	41.8084	4842	4.47	0.91	0.89	 
854	6435936	15.849	493	19.30057	41.8121	3743	4.69	0.49	0.43	 
855	6522242	15.196	122	19.45069	41.9441	5316	4.59	0.83	0.97	 
856	6526710	15.344	127	19.54529	41.9692	5858	4.59	0.86	1.06	 
857	6587280	15.086	162	19.00737	42.0340	5033	4.63	0.76	0.91	 
858	6599919	15.060	261	19.32652	42.0092	5440	4.45	1.00	1.03	 
861	6685526	15.001	247	19.33384	42.1165	5066	4.63	0.76	0.91	 
863	6784235	15.533	295	19.58776	42.2125	5651	4.59	0.85	1.04	 
864	6849310	15.604	214	19.14951	42.3014	5337	4.77	0.66	0.93	 
865	6862328	15.085	139	19.43892	42.3682	5560	4.70	0.73	1.00	 
867	6863998	15.219	231	19.47368	42.3803	5059	4.52	0.88	0.94	 
868	6867155	15.172	254	19.53386	42.3072	4118	4.52	0.71	0.61	 
869	6948054	15.599	277	19.44260	42.4363	5085	4.46	0.96	0.96	 
870	6949607	15.036	224	19.47580	42.4294	4590	4.29	1.12	0.89	 
871	7031517	15.215	1141	19.40798	42.5071	5650	5.05	0.48	0.93	 
872	7109675	15.262	349	19.28458	42.6042	5127	4.59	0.81	0.94	 
873	7118364	15.024	101	19.46428	42.6961	5470	4.78	0.66	0.96	 
874	7134976	15.024	154	19.76556	42.6634	5037	4.56	0.84	0.93	 
875	7135852	15.692	331	19.77960	42.6261	4198	4.87	0.45	0.54	 
876	7270230	15.877	727	19.19227	42.8324	5417	4.87	0.59	0.93	 
877	7287995	15.019	272	19.57580	42.8250	4211	4.57	0.68	0.62	 
878	7303253	15.316	164	19.83067	42.8399	4749	4.28	1.16	0.94	 
880	7366258	15.158	213	19.52489	42.9661	5512	4.49	0.96	1.03	 
881	7373451	15.859	243	19.66065	42.9353	5053	4.82	0.60	0.86	 
882	7377033	15.533	645	19.72236	42.9431	5081	4.57	0.83	0.93	 
883	7380537	15.766	342	19.77887	42.9679	4674	4.82	0.55	0.73	 
884	7434875	15.067	324	19.24283	43.0393	4931	4.87	0.55	0.81	 
886	7455287	15.847	288	19.65160	43.0563	3705	4.63	0.53	0.44	 
887	7458762	15.031	116	19.71010	43.0298	5601	4.53	0.92	1.04	 
889	757450	15.264	371	19.40917	36.5774	5101	4.48	0.93	0.96	 
890	7585481	15.261	131	18.84663	43.2727	5976	4.56	0.90	1.07	 
891	7663691	15.063	161	18.90872	43.3794	5851	4.59	0.86	1.06	 
892	7678434	15.193	241	19.35955	43.3639	5010	4.60	0.79	0.91	 
893	7685981	15.662	177	19.53104	43.3464	5729	4.46	1.01	1.07	 
895	7767559	15.403	593	19.76068	43.4554	5436	4.37	1.10	1.04	 
896	7825899	15.258	268	19.53743	43.5814	5206	4.63	0.78	0.94	 
897	7849854	15.257	263	19.97079	43.5036	5734	4.46	1.01	1.07	 
898	7870390	15.777	350	18.81550	43.6656	4051	4.53	0.68	0.57	 
899	7907423	15.234	176	19.79900	43.6585	3653	4.59	0.55	0.43	 
900	7938496	15.425	191	18.79737	43.7031	5692	4.34	1.17	1.09	 
901	8013419	15.750	163	19.01117	43.8763	4213	4.72	0.55	0.58	 
902	8018547	15.754	390	19.19016	43.8980	4312	4.62	0.65	0.64	 
903	8039892	15.813	167	19.70241	43.8845	5620	4.78	0.68	0.99	 
904	8150320	15.791	221	19.01122	44.0265	4362	4.56	0.72	0.69	 
905	8180063	15.289	410	19.76717	44.0361	5668	5.04	0.48	0.94	 
906	8226994	15.460	197	19.30632	44.1420	5017	4.56	0.84	0.92	 
907	8247638	15.223	153	19.77108	44.1059	5634	4.35	1.15	1.08	 
908	8255887	15.113	158	19.90904	44.1709	5391	4.25	1.29	1.07	 
910	8414716	15.651	179	18.96203	44.4805	5017	4.86	0.56	0.84	 
911	8490993	15.399	226	19.35089	44.5565	5820	4.78	0.68	1.02	 
912	8505670	15.058	183	19.70529	44.5460	4214	4.61	0.64	0.60	 
913	8544996	15.198	164	18.98870	44.6581	5463	4.75	0.69	0.97	 
914	8552202	15.371	195	19.24844	44.6075	5479	4.97	0.52	0.92	 
916	8628973	15.142	154	19.56366	44.7928	5401	4.48	0.96	1.01	 
917	8655354	15.172	204	20.06997	44.7063	5681	4.48	0.98	1.06	 
918	8672910	15.011	235	18.93183	44.8116	5321	4.54	0.88	0.99	 
920	8689031	15.067	140	19.44782	44.8873	5330	4.86	0.59	0.91	 
921	8689373	15.532	250	19.45613	44.8581	5046	4.71	0.69	0.89	 
922	8826878	15.365	261	19.65646	45.0344	5253	4.46	0.98	0.99	 
923	8883593	15.543	223	19.40616	45.1155	5669	4.60	0.85	1.04	 
924	8951215	15.229	174	19.41387	45.2444	5951	4.53	0.94	1.08	 
926	9077124	15.603	227	19.09067	45.4143	5741	4.56	0.89	1.05	 
928	9140402	15.251	128	18.98396	45.5991	5450	4.53	0.91	1.01	 
929	9141746	15.649	152	19.03699	45.5789	5820	4.42	1.06	1.08	 
931	9166862	15.272	144	19.75954	45.5686	5714	4.78	0.68	1.01	 
934	9334289	15.843	309	19.21098	45.8165	5733	4.66	0.79	1.03	 
935	9347899	15.237	186	19.60153	45.8531	6345	4.70	0.77	1.09	 
936	9388479	15.073	188	18.91547	45.9588	3684	4.44	0.72	0.51	 
937	9406990	15.412	176	19.53455	45.9147	5349	4.69	0.74	0.96	 
938	9415172	15.596	199	19.73762	45.9768	5342	4.58	0.84	0.98	 
939	9466668	15.065	157	19.50536	46.0974	5649	4.57	0.88	1.04	 
940	9479273	15.017	73.1	19.80304	46.0274	5284	4.63	0.79	0.96	 
941	9480189	15.471	305	19.82107	46.0233	4998	4.30	1.16	0.99	 
942	9512687	15.386	203	18.97926	46.1723	4997	4.73	0.66	0.87	 
943	9513865	15.733	202	19.02609	46.1809	5178	4.73	0.68	0.91	 
944	9595686	15.361	196	19.65332	46.2076	5166	4.50	0.92	0.97	 
945	9605514	15.083	166	19.86344	46.2647	6059	4.59	0.87	1.08	 
947	9710326	15.190	228	19.45752	46.4293	3829	4.53	0.64	0.50	 
949	9766437	15.485	218	19.33787	46.5791	5733	4.70	0.75	1.02	 
951	9775938	15.223	198	19.60457	46.5793	4767	4.26	1.21	0.95	 
952	9787239	15.801	291	19.85616	46.5743	3911	4.64	0.56	0.49	 
953	9820483	15.954	349	19.09882	46.6925	5491	4.58	0.86	1.01	 
954	9823457	15.219	139	19.21413	46.6150	5677	4.64	0.80	1.03	 
955	9825625	15.067	133	19.29545	46.6175	6121	4.51	0.96	1.10	 
956	9875711	15.223	197	18.92440	46.7896	4580	4.33	1.05	0.87	 
960	8176650	15.513	165	19.69805	44.0107	5213	4.72	0.70	0.92	 
961	8561063	15.920	157	19.48127	44.6192	4188	4.56	0.68	0.62	1	 
972	11013201	9.275	30.8	18.80002	48.5422	7779	3.82	2.54	1.56	 
974	9414417	9.582	26	19.72018	45.9881	6069	4.34	1.19	1.12	 
975	3632418	8.224	25.5	19.15745	38.7140	6017	4.38	1.09	1.05	1	 
976	3441784	9.729	149	19.39629	38.5389	7822	4.28	1.62	1.84	1	 
977	11192141	10.523	125	19.51464	48.8520	3240	4.90	0.27	0.21	1	 
981	8607720	10.733	101	18.91576	44.7133	5064	3.36	4.10	1.41	 
984	1161345	11.631	101	19.40325	36.8399	5836	4.15	1.50	1.15	 
986	2854698	14.138	175	19.46173	38.0141	5348	4.92	0.54	0.90	 
987	7295235	12.550	42.4	19.70494	42.8064	5244	4.56	0.85	0.97	 
988	2302548	13.562	126	19.42432	37.6092	5052	4.01	1.75	1.14	 
991	10154388	13.581	48.4	19.76641	47.1829	5681	4.07	1.66	1.16	 
992	1432789	15.214	195	19.43330	37.0593	5648	4.65	0.79	1.02	 
993	1718189	14.246	129	19.38191	37.2527	5616	4.79	0.67	0.99	 
994	1431122	14.613	174	19.40950	37.0613	5398	4.47	0.98	1.02	 
998	1432214	15.661	278	19.42551	37.0730	5814	4.60	0.86	1.06	 
999	2165002	15.391	351	19.49798	37.5678	5118	4.57	0.83	0.94	 
1001	1871056	13.038	59.6	19.46964	37.3762	5956	3.81	2.33	1.29	 
1002	1865042	13.615	82.4	19.37882	37.3551	5112	4.82	0.60	0.87	 
1003	2438502	16.209	1381	19.35519	37.7267	5126	4.50	0.92	0.96	 
1005	5780460	15.703	337	19.22777	41.0298	4975	4.46	0.95	0.94	 
1010	1027438	13.620	94.8	19.42360	36.7845	6452	4.16	1.52	1.21	 
1013	6047498	15.348	183	19.55904	41.3498	5359	4.88	0.58	0.92	 
1014	8125580	15.759	261	19.99315	43.9039	4630	4.60	0.72	0.77	 
1015	8158127	14.500	111	19.27313	44.0044	6243	4.47	1.02	1.12	 
1017	8174625	15.007	146	19.65626	44.0777	5350	4.41	1.04	1.02	 
1019	8179973	10.266	58.6	19.76546	44.0092	4788	4.09	1.54	1.06	 
1020	2309719	12.899	74	19.52872	37.6066	5786	4.14	1.52	1.15	 
1022	2716853	15.762	340	19.48454	37.9556	5469	4.54	0.89	1.01	 
1024	2715135	14.496	204	19.46022	37.9023	4162	4.61	0.62	0.58	 
1026	1996399	14.748	189	19.09389	37.4268	3802	4.49	0.68	0.52	 
1029	2164169	14.757	163	19.48607	37.5808	5739	4.48	0.99	1.07	 
1030	2574338	15.399	232	19.40923	37.8593	6205	4.72	0.75	1.07	 
1031	2584163	15.160	251	19.55027	37.8462	5688	4.46	1.00	1.07	 
1032	2162635	13.862	125	19.46517	37.5326	4787	3.57	3.15	1.33	 
1050	5809890	13.999	136	19.79073	41.0973	4894	4.40	1.01	0.93	 
1051	6131236	15.391	127	19.61088	41.4518	5825	4.69	0.76	1.04	 
1052	5956342	15.381	215	19.36736	41.2448	6066	4.51	0.96	1.09	 
1053	5956656	15.376	264	19.37386	41.2011	5403	4.59	0.83	0.99	 
1054	6032981	11.899	188	19.24551	41.3073	5118	4.39	1.05	0.99	 
1059	6060203	14.803	114	19.77870	41.3865	5364	4.77	0.67	0.94	 
1060	5880320	14.348	104	19.53897	41.1354	6400	4.50	0.98	1.13	 
1061	6037187	14.502	114	19.34210	41.3815	5720	4.45	1.02	1.07	 
1072	8229696	14.743	136	19.36691	44.1436	5876	4.41	1.09	1.09	 
1078	10166274	15.438	294	19.98869	47.1575	3931	4.73	0.49	0.48	 
1081	10149023	15.220	125	19.65124	47.1328	5909	4.73	0.73	1.04	 
1082	10141900	15.692	270	19.47630	47.1574	5087	4.63	0.76	0.92	 
1083	10157458	15.302	124	19.82621	47.1646	5575	4.58	0.86	1.03	 
1085	10118816	15.233	188	18.73667	47.1882	3978	4.52	0.67	0.55	 
1086	10122255	14.609	107	18.87897	47.1557	5791	4.40	1.09	1.09	 
1089	3247268	14.696	127	19.62890	38.3555	5915	4.42	1.07	1.09	 
1094	2721030	15.678	296	19.54564	37.9698	5704	4.62	0.83	1.04	 
1095	3329204	15.617	183	19.17446	38.4023	5470	4.60	0.83	1.00	 
1099	2853093	15.435	238	19.43861	38.0358	5665	4.95	0.55	0.96	 
1101	3245969	15.681	320	19.60771	38.3935	4825	4.79	0.59	0.79	 
1102	3231341	14.925	204	19.36088	38.3438	5800	4.34	1.17	1.10	 
1106	3240158	14.818	163	19.51421	38.3582	5954	4.56	0.90	1.07	 
1108	3218908	14.604	128	19.09936	38.3749	5350	4.73	0.70	0.95	 
1109	3235672	14.792	222	19.44046	38.3481	4977	4.45	0.95	0.94	 
1110	2837111	14.794	120	19.16294	38.0884	5689	4.51	0.95	1.06	 
1111	3120276	15.212	236	19.48527	38.2845	5473	4.68	0.75	0.99	 
1112	3109930	14.633	144	19.31845	38.2623	5835	4.45	1.02	1.08	 
1113	2854914	13.703	90.9	19.46508	38.0551	6132	4.39	1.11	1.12	 
1114	3337425	14.928	187	19.34233	38.4042	5568	4.37	1.12	1.06	 
1115	3116412	13.974	98.5	19.42824	38.2166	5487	4.23	1.33	1.09	 
1116	2849805	13.333	64.4	19.39231	38.0576	5776	4.49	0.97	1.07	 
